	Start	Marker
528	11445634774	10.0
529	11447173565	888.0
530	11448191093	777.0
531	11448390191	9.0
532	11448590793	3.0
533	11448789159	8.0
534	11448989639	5.0
535	11449189931	10.0
536	11449389987	4.0
537	11449590150	12.0
538	11449790835	5.0
539	11449989414	7.0
540	11450190438	2.0
541	11450390523	10.0
542	11450590651	1.0
543	11450790723	9.0
544	11450989921	10.0
545	11451190449	2.0
546	11451390541	8.0
547	11451590359	3.0
548	11451790792	11.0
549	11451990766	5.0
550	11452190805	7.0
551	11452390852	4.0
552	11452592921	11.0
553	11452792953	1.0
554	11452993050	9.0
555	11453193388	0.0
556	11453393442	12.0
557	11453593775	9.0
558	11453793616	3.0
559	11453993720	6.0
560	11454194347	5.0
561	11454395416	7.0
562	11454597727	1.0
563	11454793923	9.0
564	11454994367	2.0
565	11455194396	7.0
566	11455394574	4.0
567	11455595684	11.0
568	11455795945	0.0
569	11455996600	12.0
570	11456196346	9.0
571	11456396118	1.0
572	11456596363	10.0
573	11456796504	4.0
574	11456996881	6.0
575	11457194864	2.0
576	11457394960	12.0
577	11457597085	4.0
578	11457795229	7.0
579	11457996572	0.0
580	11458197127	6.0
581	11458395465	3.0
582	11458595682	7.0
583	11458795682	6.0
584	11458997799	2.0
585	11459195933	7.0
586	11459396208	3.0
587	11459596257	12.0
588	11459799429	1.0
589	11459997723	10.0
590	11460197759	4.0
591	11460397891	11.0
592	11460597937	5.0
593	11460798115	8.0
594	11460998133	2.0
595	11461198231	10.0
596	11461400453	6.0
597	11461599227	3.0
598	11461801135	8.0
599	11462000502	5.0
600	11462199007	11.0
601	11462399051	1.0
602	11462599075	8.0
603	11462801260	0.0
604	11463001342	10.0
605	11463201498	1.0
606	11463401582	12.0
607	11463602863	4.0
608	11463801258	6.0
609	11464001062	11.0
610	11464201582	0.0
611	11464401259	7.0
612	11464601623	2.0
613	11464801691	11.0
614	11465001670	0.0
615	11465201797	9.0
616	11465401917	4.0
617	11465605679	6.0
618	11465802817	0.0
619	11466003163	8.0
620	11466204108	3.0
621	11466401439	12.0
622	11466603983	6.0
623	11466802557	5.0
624	11467002877	8.0
625	11467204321	0.0
626	11467404296	9.0
627	11467602483	5.0
628	11467804591	10.0
629	11468002711	1.0
630	11468204625	11.0
631	11468402774	3.0
632	11468603039	8.0
633	11468803494	2.0
634	11470986518	12.0
635	11472633275	888.0
636	11473660990	777.0
637	11473858034	9.0
638	11474059323	4.0
639	11474257555	7.0
640	11474459654	2.0
641	11474659616	11.0
642	11474859904	1.0
643	11475057888	7.0
644	11475258028	2.0
645	11475458088	12.0
646	11475658614	0.0
647	11475859265	10.0
648	11476061310	2.0
649	11476259959	6.0
650	11476460769	10.0
651	11476658864	3.0
652	11476859019	8.0
653	11477059041	5.0
654	11477261079	11.0
655	11477461326	0.0
656	11477662524	9.0
657	11477860643	4.0
658	11478060974	6.0
659	11478261116	5.0
660	11478461191	12.0
661	11478661271	4.0
662	11478861424	9.0
663	11479061536	6.0
664	11479261503	3.0
665	11479463413	9.0
666	11479661738	1.0
667	11479861898	8.0
668	11480061852	3.0
669	11480262156	10.0
670	11480462609	0.0
671	11480663151	12.0
672	11480863260	5.0
673	11481063868	6.0
674	11481262061	4.0
675	11481462884	8.0
676	11481662941	11.0
677	11481863038	0.0
678	11482063904	12.0
679	11482264483	5.0
680	11482464832	9.0
681	11482666624	1.0
682	11482865110	11.0
683	11483065630	5.0
684	11483267182	9.0
685	11483465430	4.0
686	11483665999	12.0
687	11483867301	3.0
688	11484065474	6.0
689	11484265383	7.0
690	11484466094	0.0
691	11484665980	8.0
692	11484865978	4.0
693	11485065993	11.0
694	11485266600	2.0
695	11485467634	10.0
696	11485666439	0.0
697	11485866509	12.0
698	11486066750	3.0
699	11486267379	9.0
700	11486466199	1.0
701	11486666201	7.0
702	11486868369	10.0
703	11487066643	5.0
704	11487268702	12.0
705	11487467323	3.0
706	11487669807	6.0
707	11487867569	0.0
708	11488067820	11.0
709	11488268273	1.0
710	11488467968	7.0
711	11488668138	3.0
712	11488869191	8.0
713	11489067645	1.0
714	11489267669	10.0
715	11489469664	7.0
